# Velocities of the atoms in each direction in reduced units at the initial state for  Ar
# The variance of the normal (Gaussian) distribution is = 0.8497058314499201
 Atom                                      V(x)                 V(y)                 V(z) 
 54                                    -0.25142             -0.03670             -0.47036 
 55                                     0.47934             -1.04053              1.58456 
 56                                     0.46088              0.29286              0.73630 
 57                                    -0.35786              0.24038              1.15615 
 58                                     0.89312              0.69098              0.81053 
 59                                     0.35549             -0.75746             -0.25678 
 60                                     0.58733              1.64317              0.95077 
 61                                     1.09552             -0.41643              0.59927 
 62                                    -0.66491             -0.51289              0.97382 
 63                                     1.04689             -0.67746              0.11208 
 64                                     0.71156              0.72683             -0.99713 
 65                                     1.23913              0.76424              0.90657 
 66                                     0.28596             -0.29027              0.07445 
 67                                    -1.19259             -0.67258             -1.99429 
 68                                     1.06443             -0.43534              0.48059 
 69                                     1.00258             -0.57304             -0.38791 
 70                                     0.94488              0.37055             -0.84891 
 71                                     0.29982              0.25811              0.41417 
 72                                    -0.89670              0.45628              0.35403 
 73                                    -0.50371              0.53097             -1.61732 
 74                                     0.12039              0.55583             -0.81324 
 75                                     0.34523             -0.49716              2.22406 
 76                                    -0.56833              0.04995              0.14444 
 77                                     1.34395             -0.34677             -0.53988 
 78                                    -1.51275             -0.75557              1.06995 
 79                                     0.71531             -0.55908              0.12552 
 80                                    -0.02738             -1.19830              1.42571 
 81                                     0.64897             -0.57048              0.21676 
 82                                     0.81213              0.15127             -0.51253 
 83                                    -0.18533              1.55039              0.36540 
 84                                    -0.89228             -1.27745              0.24767 
 85                                    -2.30436              0.52942              0.70663 
 86                                     0.86150             -0.23284             -1.22354 
 87                                     0.01514              0.76137             -0.09222 
 88                                    -0.01976             -0.43986              0.05060 
 89                                     0.75914             -1.71557             -1.65856 
 90                                     0.23177             -0.67611              1.39028 
 91                                     0.86902              1.55276              1.45768 
 92                                    -1.32962              1.23974             -0.59669 
 93                                    -1.53179              0.89155             -0.61063 
 94                                     0.00077             -1.01560             -0.50411 
 95                                    -0.07095             -1.80477              0.43305 
 96                                    -0.51999              0.31289             -0.22718 
 97                                     0.33990             -0.09690              0.79010 
 98                                     0.03747             -0.08685              0.55919 
 99                                    -0.08558             -0.17047              0.55636 
 100                                    0.93223              0.09915             -0.14235 
 101                                    0.38450              0.60174              0.32494 
 102                                    0.83143             -0.99317              0.69197 
 103                                   -0.43688             -0.64332             -0.88663 
 104                                    0.41473             -0.33374             -0.51249 
 105                                    0.62917              0.41948              0.82703 
 106                                   -0.24259             -0.41068             -0.58681 
 107                                   -0.09607              1.65815              0.60639 
 108                                   -1.64260              1.07048              0.34234 
 109                                    0.58819              0.21983             -0.93998 
 110                                   -1.01189              0.47136              0.69847 
 111                                    0.54023             -0.18709              0.52110 
 112                                    0.63337              0.19704             -2.11725 
 113                                   -0.08219              1.11348             -0.48699 
 114                                   -1.18839             -0.26596              0.41355 
 115                                    0.59805              0.36242             -0.10764 
 116                                   -0.33999             -0.32302              0.84168 
 117                                   -0.58237             -0.23484              0.29543 
 118                                    0.16095              0.18808             -0.08152 
 119                                    1.39466              2.66166             -1.00801 
 120                                   -0.37251              0.19412             -0.93904 
 121                                    0.17582              0.26879              0.02915 
 122                                   -0.30270              0.45248              0.06555 
 123                                    0.95994             -1.11010             -1.37116 
 124                                    0.79163             -0.31274             -1.15155 
 125                                   -1.58941              0.39837             -0.26877 
 126                                    0.84427              0.41132             -0.90887 
 127                                   -0.97895              1.26896              0.73341 
 128                                   -2.34927             -0.87362             -0.99380 
 129                                   -1.05916              0.84262              2.16588 
 130                                   -0.51675              0.50429              0.84969 
 131                                   -0.58066             -0.28166             -1.72115 
 132                                    0.56434              0.18519             -0.46892 
 133                                    0.76136              0.94512             -0.16787 
 134                                   -0.75923              0.82904             -0.17748 
 135                                    0.03449             -1.39336              0.34349 
 136                                   -0.15589              1.30985              1.12432 
 137                                    0.28961              1.15996              0.09090 
 138                                   -0.88453              0.59764             -0.11965 
 139                                    1.11539             -0.16022             -0.25239 
 140                                    0.13983             -0.47625              0.72311 
 141                                   -0.31027             -0.97265              1.42685 
 142                                    0.49968             -0.06517              0.26336 
 143                                   -0.13908              0.79857             -0.81691 
 144                                   -1.28509             -1.17510              1.99297 
 145                                    0.95095             -1.11263             -0.07542 
 146                                    1.55621              0.12396              1.44375 
 147                                    0.68312             -0.72229             -0.13461 
 148                                    1.22835             -0.57364              0.08103 
 149                                    0.19026             -0.35896             -1.47614 
 150                                    0.12325              0.31849              0.72525 
 151                                   -0.51159              1.07324              0.91542 
 152                                    0.84349             -1.05904             -1.12509 
 153                                    0.27366              0.77092              1.44412 
 154                                   -1.31103              0.34799              0.99784 
 155                                    0.80251             -0.01890              0.81073 
 156                                    0.83019              1.40135             -1.09718 
 157                                   -0.03692              0.25882             -1.04313 
 158                                   -1.03608             -1.63447             -1.49089 
 159                                    1.46392             -0.24217             -1.68199 
 160                                    1.14173              1.42845              0.25856 
 161                                   -0.59152             -0.37389             -0.05157 
 162                                   -0.31313             -1.26958             -0.25773 
 163                                    0.25154              0.57410             -0.03594 
 164                                   -0.07343              0.40708             -0.45689 
 165                                   -0.20025             -0.46638             -0.28480 
 166                                    0.33237              0.25598             -0.40567 
 167                                    0.33704             -1.70602              0.70588 
 168                                    1.54001             -1.01240              2.13697 
 169                                   -0.21107              0.30093             -0.52338 
 170                                   -0.48735             -0.34221             -0.46997 
 171                                   -0.28653             -0.69768              0.69130 
 172                                   -0.32693             -0.09320              1.92022 
 173                                   -0.05557              1.59707             -0.29420 
 174                                    0.43377             -0.22172              0.73299 
 175                                    0.32176             -1.06483             -0.56635 
 176                                    1.19130              0.43819              0.85615 
 177                                   -1.12315              0.01521              1.21407 
 178                                    0.70139             -0.76997             -0.71416 
 179                                    1.43235              1.04473             -0.05896 
 180                                    0.18804              1.21693              1.05954 
 181                                    0.62032             -0.36393             -1.21073 
 182                                   -0.50123              0.34059              1.14379 
 183                                   -0.85835              0.27844             -0.46559 
 184                                    0.65830              0.60313             -0.90751 
 185                                   -0.15000              0.12060             -0.62232 
 186                                    1.11470             -0.09267              0.33420 
 187                                   -0.22030             -0.53381              1.37293 
 188                                    1.52563             -0.61107             -1.53686 
 189                                   -0.38384              0.56432             -1.18798 
 190                                   -0.47409             -1.12434              1.35008 
 191                                    0.16024              1.01964              0.65295 
 192                                    1.27033             -0.77097             -0.16111 
 193                                    1.77202             -1.67065              1.56273 
 194                                    0.48369              0.38717              0.34520 
 195                                    0.30534             -0.13672              1.12327 
 196                                    0.78182              0.17529              0.59401 
 197                                    0.46977             -0.71368              1.35548 
 198                                    1.02272             -0.89062             -0.04119 
 199                                   -1.58353             -0.33321             -0.25416 
 200                                    1.15646              0.66109             -0.12703 
 201                                   -1.19828             -0.83819             -0.92804 
 202                                   -0.34102             -1.10040             -0.48855 
 203                                    0.53076              0.06512              2.02409 
 204                                    0.67397             -0.27443              0.67379 
 205                                   -0.82709              0.42393             -0.85832 
 206                                   -1.48177              0.25264              0.66228 
 207                                    1.93162             -0.79673             -0.28298 
 208                                   -0.60311              0.72656              0.38327 
 209                                    0.37908             -0.14692             -0.23895 
 210                                    0.89809              0.65051             -0.14982 
 211                                   -0.29049             -0.80678             -0.38911 
 212                                   -0.31224              1.03182             -0.25775 
 213                                    0.86900             -0.59970              0.99207 
 214                                    0.45947              0.26295              1.26224 
 215                                    0.10175              0.85888              0.31571 
 216                                   -0.97029              0.69627             -0.84930 
 217                                   -0.70723             -0.87174             -0.82641 
 218                                    0.64471             -0.02724              1.12184 
 219                                    0.92942              0.05477              0.15455 
 220                                   -0.40985              1.22528              0.04827 
 221                                    0.21247             -0.95285             -0.97031 
 222                                    0.77385             -0.64320             -1.60485 
 223                                   -1.11980             -0.22984              0.84246 
 224                                   -0.34371             -0.91990              1.02255 
 225                                   -0.86069              0.68508             -1.43531 
 226                                   -0.08756              0.32748             -0.63873 
 227                                    0.06729              0.34337              0.78673 
 228                                   -0.92381              0.08683              0.44244 
 229                                   -0.17311              0.34521              0.18383 
 230                                   -0.10517             -1.65950              0.58973 
 231                                    0.40686             -0.89007             -0.14386 
 232                                    0.37298              1.55180             -1.85565 
 233                                   -0.01512             -0.28329              0.75794 
 234                                    0.29769              0.53109             -0.30246 
 235                                    2.34821             -0.80620              0.41915 
 236                                   -0.44151             -1.85251              0.41464 
 237                                    0.69204              0.01707              0.13192 
 238                                    0.59544              0.92264             -0.56378 
 239                                    0.93428              0.06741             -0.34244 
 240                                   -0.47989              0.52556             -0.77272 
 241                                   -0.43817              0.10593             -1.19978 
 242                                    1.87462             -0.02729             -0.07198 
 243                                   -0.79606              1.19573             -0.46381 
 244                                    0.72593              0.27561             -0.67623 
 245                                   -0.23828             -0.16809              0.53333 
 246                                   -0.73930              0.77627              0.06381 
 247                                    0.01778              0.06196             -1.26610 
 248                                    0.88340             -0.68279             -0.74358 
 249                                   -0.35311              0.23658             -0.12834 
 250                                    1.84801             -0.23834             -0.02491 
 251                                   -1.56171             -0.41190              0.40385 
 252                                    0.25338             -0.51759              0.92864 
 253                                   -1.02353              2.15448             -1.18547 
 254                                    0.10088             -0.43016             -0.02294 
 255                                   -0.58775             -0.97811              0.58546 
 256                                    0.19400              1.63465              0.34452 
 257                                   -1.00705              0.16051              0.10942 
 258                                    0.43209             -0.16909              1.46944 
 259                                    0.05033              1.34628              1.03571 
 260                                   -0.02815              0.39698              1.52145 
 261                                    0.08047              0.54868             -0.88090 
 262                                   -0.82081             -0.45784             -0.59134 
 263                                   -0.63989              0.60538             -1.19078 
 264                                    1.20525              0.61508              0.09979 
 265                                    0.15624              0.68413             -1.31625 
 266                                    1.47745             -0.84184             -0.00590 
 267                                    0.29315              1.07080             -0.55736 
 268                                   -0.02446              0.56925             -0.37888 
 269                                    0.70747             -0.64323             -0.72452 
 270                                    2.16714             -1.05469              0.26376 
 271                                    1.09865             -0.90878             -1.05702 
 272                                   -1.33988              0.56373             -0.35277 
 273                                    1.23588              0.17491             -0.92007 
 274                                    0.10888             -0.57200             -0.86645 
 275                                   -0.20170              0.81558              0.08082 
 276                                   -0.78991             -0.57588              0.47677 
 277                                    1.30464              1.04265             -1.32692 
 278                                   -1.22608              1.13902              0.67672 
 279                                   -0.35649             -0.14001              0.05104 
 280                                   -1.11980             -0.70459              0.16340 
 281                                    1.56327             -0.52559             -1.71080 
 282                                   -1.56238              1.15721             -0.64506 
 283                                    0.40979              0.26040             -0.53537 
 284                                   -0.95913             -0.04510              0.72653 
 285                                   -0.83040              0.76265              0.19524 
 286                                    1.54073              0.81458              1.71827 
 287                                    0.65031              0.00904             -1.83723 
 288                                    0.38636             -0.89883              0.54539 
 289                                    0.88746              1.39366              1.13699 
 290                                   -0.07826             -0.37539              0.71229 
 291                                   -1.53077              0.74955              0.11459 
 292                                   -1.17630              0.42272             -0.44963 
 293                                    0.13384              0.24176              2.02606 
 294                                    0.68949              0.57434             -0.84864 
 295                                   -0.82468              0.87336             -0.59560 
 296                                   -0.22799              0.41718              0.61776 
 297                                   -0.33113             -0.55750             -0.91755 
 298                                   -0.17754             -0.68097              0.21203 
 299                                   -1.01247              0.90585              0.05317 
 300                                   -0.45248              1.34504              0.64643 
 301                                   -0.33478              0.03954              0.20253 
 302                                   -0.55686             -0.29883             -1.06904 
 303                                   -0.04957              1.34847              0.77167 
 304                                   -0.12474             -1.12361             -0.89338 
 305                                   -0.24382             -0.14866              0.93300 
 306                                    1.07271              1.10919              0.25588 
 307                                   -1.87439              0.14525             -0.47075 
 308                                   -0.29692             -1.77475             -0.47597 
 309                                    0.14680             -0.94738              0.39434 
 310                                   -1.06297              0.03689             -0.94374 
 311                                    0.46132             -1.23883             -0.73801 
 312                                    0.74854             -1.50187              0.36113 
 313                                    0.17190             -0.41839             -0.24804 
 314                                   -1.00462              0.93082              1.15197 
 315                                   -0.65403             -0.13961              0.57997 
 316                                   -1.27679              0.48102              1.36900 
 317                                    1.67645             -0.31942             -0.34469 
 318                                   -0.49425             -0.49560             -0.87657 
 319                                   -0.87818              0.80152              0.44886 
 320                                    0.86917              0.46128              0.81784 
 321                                    0.11877             -0.18285              0.48056 
 322                                    0.68771             -0.17268              0.09874 
 323                                   -1.05375             -0.70043             -0.47994 
 324                                    0.36921              2.00790              1.48945 
 325                                   -0.25864              0.95650             -0.82204 
 326                                   -0.93689              0.17886             -0.29839 
 327                                   -1.26183             -0.38225             -1.39152 
 328                                   -0.00276              0.59132             -0.14568 
 329                                   -1.64752             -1.03002             -0.78550 
 330                                   -0.06565             -0.18328             -0.19912 
 331                                    0.39570             -1.54180              1.50227 
 332                                   -0.33841             -0.06956             -1.20358 
 333                                    0.83898              0.21098              0.14173 
 334                                    0.44417              1.03884             -0.48637 
 335                                    1.47311              0.86001              0.04076 
 336                                    0.27689             -0.60697              0.43160 
 337                                    0.28201             -0.73440             -1.93916 
 338                                   -0.02286             -0.21963              0.03696 
 339                                   -1.06195             -0.54747             -0.61176 
 340                                   -0.20132             -0.07607             -1.03398 
 341                                   -0.70606             -0.72009              0.60303 
 342                                    1.57510              0.63706             -0.83844 
 343                                    0.21432              1.12319             -0.12572 
 344                                   -0.46831              0.78707             -1.24144 
 345                                    0.08569              0.11989              1.05604 
 346                                    0.85556             -0.27405             -0.45977 
 347                                   -0.44645              0.69321             -1.35279 
 348                                   -0.29109             -0.24809              0.43303 
 349                                   -0.21834              0.50076              0.03312 
 350                                    1.04708             -0.44872             -0.34462 
 351                                    0.26332             -0.30660             -1.09446 
 352                                   -0.65448              0.40176             -0.15698 
 353                                    0.27237              0.35861             -0.32054 
 354                                    0.47164              1.11426             -0.94928 
 355                                   -0.02571              0.11575             -1.44257 
 356                                    0.42552              1.14078              0.27362 
 357                                    0.10475              0.79194              0.11630 
 358                                    0.24574              0.00653              0.36760 
 359                                    0.97025             -0.13149              0.13552 
 360                                   -0.54052             -0.82193              0.23854 
 361                                   -0.83911              0.47460             -0.24212 
 362                                    0.46242             -0.96814             -1.45219 
 363                                    0.11758              1.68204             -1.66327 
 364                                    0.80492             -0.41092             -0.56282 
 365                                   -0.06823             -0.02064             -0.02358 
 366                                   -1.14215              0.63612             -0.35250 
 367                                    0.40326             -0.46806              0.80025 
 368                                    0.54759             -0.00033              0.51080 
 369                                   -0.32266             -0.07065              0.68615 
 370                                   -0.45880              0.10127              0.92325 
 371                                    0.53373             -0.56482              0.25093 
 372                                    0.71948              0.61203             -0.82512 
 373                                   -0.09398             -0.47753             -1.55658 
 374                                    2.02069              0.67321             -0.01105 
 375                                   -0.36966             -0.70103              0.03595 
 376                                   -0.46287             -0.26845              1.29197 
 377                                   -1.36399             -0.73315             -0.93794 
 378                                   -0.21337             -0.27943              0.62084 
 379                                   -0.66172              0.91411              0.43109 
 380                                   -0.32430              0.49285             -0.33996 
 381                                   -0.54050              1.45167             -0.26354 
 382                                   -0.25651              0.43873             -0.14675 
 383                                   -1.13222              1.21439              1.14952 
 384                                    1.42055             -0.65915             -0.57867 
 385                                   -0.59282              0.65673              0.22074 
 386                                    0.00557             -0.57089             -0.60986 
 387                                   -0.52495             -0.20213             -0.68888 
 388                                    0.64081             -0.43557              1.05541 
 389                                    0.46480             -1.68968             -0.45624 
 390                                   -1.11313              0.50822              0.91689 
 391                                    1.15002             -1.00845             -0.07458 
 392                                   -0.06230             -1.88957              0.36419 
 393                                    1.12929             -0.73452             -0.00062 
 394                                   -0.65941              1.12513              0.19222 
 395                                   -0.25675              1.20389             -0.24203 
 396                                    1.08328              0.41694             -1.01666 
 397                                    0.77552              0.27717             -0.93286 
 398                                   -0.31150              0.48713              0.64655 
 399                                   -0.36109             -0.15306              1.14514 
 400                                    0.59683              1.11942             -0.04808 
 401                                   -2.29423             -0.71014             -0.57345 
 402                                    0.67511             -1.09309             -0.05898 
 403                                    2.19226              1.16809              0.59297 
 404                                    1.65104             -0.03049              0.33307 
 405                                   -0.64043              2.19100             -0.77803 
 406                                   -0.71862              0.43527             -0.19229 
 407                                    0.77223              0.16909             -0.36941 
 408                                    0.81947              0.82845             -0.10352 
 409                                   -0.31875             -0.05334             -0.33400 
 410                                   -1.98180              0.19357             -1.83153 
 411                                    0.45130              0.28080              0.17709 
 412                                   -0.14358              0.28432              0.57228 
 413                                    0.77819              0.74968              0.51626 
 414                                    0.18604             -0.98994             -0.30646 
 415                                    0.48361             -2.00799             -0.35659 
 416                                    0.20573              0.07396              0.14427 
 417                                    0.36193             -1.44500             -0.01243 
 418                                   -1.29692              1.04030             -1.46152 
 419                                    0.04802             -0.18668              0.80486 
 420                                    0.98415             -1.08265             -1.44370 
 421                                    0.86357             -0.34077             -0.05106 
 422                                   -0.29023             -0.29205              0.85112 
 423                                   -1.88190              0.55985              0.66605 
 424                                   -0.42193              0.23767             -1.41018 
 425                                   -1.28223             -0.64258             -0.91854 
 426                                   -1.55475             -0.76430             -0.30408 
 427                                   -1.01411              0.00211             -0.19460 
 428                                   -0.29825              0.48125              0.69080 
 429                                    0.90213              0.98415             -0.56005 
 430                                    0.09017              0.57367             -0.55871 
 431                                    0.96210              0.54737             -0.20982 
 432                                    0.06770             -0.72596             -0.28817 
 433                                    0.96738              0.77165             -0.27511 
 434                                    0.01164             -0.01125             -0.64386 
 435                                    0.47825             -0.45976             -0.26309 
 436                                   -0.56940             -1.04074              1.11922 
 437                                   -1.42183              0.84456             -1.67560 
 438                                   -0.79091              1.05540              0.19449 
 439                                    1.33522              0.68787              0.71691 
 440                                    0.40771             -0.35141             -0.33275 
 441                                    0.94588             -0.33891              0.83665 
 442                                   -0.03781              0.96033              0.94411 
 443                                   -0.25152             -0.19047              1.15122 
 444                                   -0.92138              0.82914              0.10120 
 445                                    0.56355             -0.62505             -0.06954 
 446                                   -0.17136              0.58774             -0.40899 
 447                                    0.76381              1.64226             -0.54103 
 448                                   -0.62321             -0.46269              0.18490 
 449                                   -1.12877              0.20729              0.33949 
 450                                   -0.89635             -0.56462             -0.42113 
 451                                   -0.13809              0.17320             -0.37500 
 452                                    1.05326             -0.82799              0.00035 
 453                                    1.45270             -1.12954              0.76307 
 454                                   -0.25678              1.30404              0.25853 
 455                                   -0.89227              0.37057              1.16060 
 456                                   -0.20035             -0.41158              0.07720 
 457                                   -0.19845              0.74368              0.18383 
 458                                   -0.42424              0.12189             -0.97607 
 459                                    0.97674              1.44891             -0.22403 
 460                                   -0.10802              0.67260             -1.21019 
 461                                   -0.72048              0.65618             -0.69682 
 462                                    0.35480             -1.46263              1.66176 
 463                                    0.89569              0.84572              1.14306 
 464                                    0.55025             -0.24683             -0.00077 
 465                                    0.79655              0.24775             -1.72896 
 466                                   -0.51204             -1.21284             -0.05146 
 467                                   -0.53055             -1.75420             -0.19104 
 468                                   -0.50645              0.37131             -0.51795 
 469                                   -0.93439              0.93840             -0.69541 
 470                                   -0.47721              0.01967              0.10729 
 471                                    1.35896             -1.09256              0.03278 
 472                                    2.59643             -0.81609             -0.09427 
 473                                    0.28580             -1.35843              0.45939 
 474                                    0.96518             -1.06398              0.98340 
 475                                    0.74064              0.70768             -0.33522 
 476                                   -0.52006             -0.16457              0.31400 
 477                                   -0.85481              0.36408              1.41770 
 478                                    0.60515              0.12071              0.36298 
 479                                   -1.03014             -0.75952             -1.23073 
 480                                   -0.85750              0.45327              0.84531 
 481                                    0.20936             -0.44147             -0.22801 
 482                                   -1.58979             -1.78868              0.99438 
 483                                   -1.47620             -0.30578             -0.22873 
 484                                   -1.05216             -2.29803              0.32244 
 485                                   -0.55663              0.89094             -0.74739 
 486                                    1.50929              1.28983             -1.13938 
 487                                    0.59088              0.26943              0.24368 
 488                                   -0.77217              0.60696             -0.71355 
 489                                   -0.33910              0.15738              0.30206 
 490                                   -0.50364             -1.43420              0.79616 
 491                                    0.73324             -0.27364              0.34468 
 492                                   -0.11197             -0.90123             -0.09962 
 493                                    0.02185             -1.10011             -0.58018 
 494                                   -0.34932             -1.11833              0.45009 
 495                                    0.22858              1.47590             -0.21765 
 496                                    0.12857              0.37157              0.61102 
 497                                   -0.08573             -0.70972             -1.03549 
 498                                    0.05815             -0.35541             -1.53651 
 499                                   -0.84894             -0.56999              1.53545 
 500                                    0.63317              0.76508              1.03161 
 501                                    0.25845             -0.62737             -0.87281 
 502                                   -0.33056              0.03767             -0.86852 
 503                                    0.25285             -0.19804              0.18478 
 504                                   -0.87048              1.52125              2.02516 
 505                                   -0.75230              1.20908             -1.34411 
 506                                    2.23090             -0.19709             -0.23749 
 507                                   -1.31019              1.43922             -0.81167 
 508                                    0.85057             -0.35589             -2.43865 
 509                                   -0.02313              1.11343             -0.57864 
 510                                   -0.01306             -1.20522              0.39591 
 511                                    1.72502             -1.20140             -0.10573 
 512                                   -1.64693              0.82487             -0.00531 
 513                                    0.43543              1.42164             -0.09916 
 514                                    0.74341             -0.98125              0.11651 
 515                                    0.29415             -0.87569              0.24679 
 516                                    1.79026             -0.37726              0.02133 
 517                                   -0.85546              2.13520              0.55873 
 518                                   -1.44700             -0.35248             -0.51319 
 519                                   -0.35896             -0.28824             -0.24448 
 520                                   -0.65666             -1.20736              0.09040 
 521                                    0.36970             -0.11772              1.07695 
 522                                   -0.16510              0.43192              0.70081 
 523                                   -1.61857             -2.15958             -1.37024 
 524                                   -0.65885              1.10520             -0.21199 
 525                                   -0.23218             -1.25071              0.71257 
 526                                   -1.91534              0.74182              0.41462 
 527                                    0.86966             -0.69943             -1.61915 
 528                                    2.23010              0.99062             -0.62691 
 529                                   -0.52123             -0.08535             -0.02465 
 530                                   -1.08290              0.54029             -0.53399 
 531                                    0.14669              0.25188             -0.03871 
 532                                   -0.77372              0.24385              0.85677 
 533                                   -0.00350             -0.36757             -1.67562 
 534                                    1.38904              0.57189             -0.48102 
 535                                   -0.94337             -0.10232              0.65946 
 536                                    1.20590             -1.07855              0.17553 
 537                                    0.78084             -0.52761             -1.02895 
 538                                   -0.12839              0.09388             -0.97206 
 539                                    1.44866             -0.37794             -0.65959 
 540                                   -2.53418             -0.80845              0.84145 
 541                                    0.04412             -0.50977              0.89609 
 542                                    0.49481              0.93551             -0.52725 
 543                                   -0.34247              0.10770             -0.23293 
 544                                   -0.47757             -0.02128             -0.54801 
 545                                    0.53321              0.34702              0.35838 
 546                                    1.20398             -0.81143              0.24989 
 547                                    0.39837              0.51352              0.37506 
 548                                    0.98130             -0.19732             -0.23706 
 549                                   -0.50368             -0.69084             -0.53081 
 550                                   -0.17063              0.16417              0.32299 
 551                                   -1.50602             -0.48048             -1.22748 
 552                                   -1.12382             -1.40255             -0.50958 
 553                                    1.15693             -0.10132             -1.07606 
 554                                   -0.64704              0.24689             -0.36384 
 555                                    0.89021              0.30470              1.00939 
 556                                    0.28204              1.09327             -0.44527 
 557                                   -0.65619             -0.75791             -0.94398 
 558                                   -0.55780             -1.54720             -0.81797 
 559                                    1.01596             -1.86885             -0.05046 
 560                                   -0.30693              0.44198             -0.39892 
 561                                    0.64442             -1.28003              0.42518 
 562                                   -0.92083             -0.12053             -1.17793 
 563                                   -0.72531             -1.13802              0.21742 
 564                                   -1.63686             -0.89701             -0.05019 
 565                                    0.10054              1.02547              0.43988 
 566                                   -0.21038             -0.11112             -0.14653 
 567                                    0.80754              0.21525              0.52074 
 568                                   -0.18991             -0.66030             -1.34604 
 569                                   -0.33137             -1.16576              0.27945 
 570                                    0.11713             -0.55316              1.54699 
 571                                   -0.25258             -0.86791             -0.40744 
 572                                   -0.43079             -1.20680              0.70092 
 573                                    1.25455              0.43999              0.39139 
 574                                   -1.02987              1.35376              0.00414 
 575                                   -0.88622             -1.17618             -0.04899 
 576                                    0.37239              1.13898              0.46078 
 577                                    0.28515             -0.29741             -0.16142 
 578                                   -0.60978             -1.59992              2.99273 
 579                                    0.64716             -0.83774             -1.35873 
 580                                   -0.31673              0.53138              0.69682 
 581                                    0.41753             -0.87129             -0.64776 
 582                                    1.38384              0.07168              0.72528 
 583                                    0.25055              0.54796             -0.52135 
 584                                   -0.38133             -1.39046             -1.12441 
 585                                   -0.04010              0.31810              0.69619 
 586                                    0.23237             -0.13355              0.37378 
 587                                    1.07738             -0.39686             -0.29625 
 588                                   -1.98166             -0.98537              1.25025 
 589                                    0.35472             -0.24420             -0.77011 
 590                                   -0.92747             -0.70581              0.03756 
 591                                    0.06249              1.47773              0.98022 
 592                                   -1.67476              0.83981              0.42044 
 593                                    0.88315             -0.54777              0.12576 
 594                                   -0.13060             -0.37934             -0.24889 
 595                                   -0.04396              0.42996              0.18575 
 596                                   -1.37872              0.57729             -0.34500 
 597                                   -0.14064             -0.92377             -0.22659 
 598                                    1.56303             -0.01870              0.17187 
 599                                   -1.43213              0.62088             -1.30864 
 600                                   -0.98787              0.59667             -1.57581 
 601                                   -0.38929              0.69539              0.95241 
 602                                    1.13629             -0.18310              0.58801 
 603                                   -0.22335             -0.68606              0.05610 
 604                                    1.01530              0.01076              0.83315 
 605                                   -0.08269              1.02900              0.70207 
 606                                    1.14794             -0.51756             -2.50370 
 607                                   -0.89782             -0.55984              0.11298 
 608                                   -1.02624             -0.57517              0.25317 
 609                                   -0.71046              0.12499             -0.28827 
 610                                   -0.47460             -0.77065             -0.39540 
 611                                    1.32092             -0.47442             -0.79062 
 612                                   -1.20343              1.13469              0.18797 
 613                                    0.11770              0.61873             -0.23500 
